step,queue_length,total_arrivals,total_served,total_dropout,avg_waiting_time,avg_system_time,service_level,dropout_rate,utilization,current_arrival_prob
123,10,55,16,27,24.625,38.4375,0.2909090909090909,0.4909090909090909,1.0,0.44999999999999996
124,10,55,16,27,24.625,38.4375,0.2909090909090909,0.4909090909090909,1.0,0.44999999999999996
125,10,55,16,27,24.625,38.4375,0.2909090909090909,0.4909090909090909,1.0,0.44999999999999996
126,10,55,16,27,24.625,38.4375,0.2909090909090909,0.4909090909090909,1.0,0.44999999999999996
127,10,55,16,27,24.625,38.4375,0.2909090909090909,0.4909090909090909,1.0,0.44999999999999996
128,11,56,16,27,24.625,38.4375,0.2857142857142857,0.48214285714285715,1.0,0.44999999999999996
129,10,56,16,28,24.625,38.4375,0.2857142857142857,0.5,1.0,0.44999999999999996
130,11,57,16,28,24.625,38.4375,0.2807017543859649,0.49122807017543857,1.0,0.44999999999999996
131,10,57,16,29,24.625,38.4375,0.2807017543859649,0.5087719298245614,1.0,0.44999999999999996
132,11,58,16,29,24.625,38.4375,0.27586206896551724,0.5,1.0,0.44999999999999996
133,12,60,17,29,24.941176470588236,38.588235294117645,0.2833333333333333,0.48333333333333334,1.0,0.44999999999999996
134,11,60,18,29,25.27777777777778,39.111111111111114,0.3,0.48333333333333334,1.0,0.44999999999999996
135,13,62,18,29,25.27777777777778,39.111111111111114,0.2903225806451613,0.46774193548387094,1.0,0.44999999999999996
136,14,63,18,29,25.27777777777778,39.111111111111114,0.2857142857142857,0.4603174603174603,1.0,0.44999999999999996
137,14,63,18,29,25.27777777777778,39.111111111111114,0.2857142857142857,0.4603174603174603,1.0,0.44999999999999996
138,15,64,18,29,25.27777777777778,39.111111111111114,0.28125,0.453125,1.0,0.44999999999999996
139,13,64,18,31,25.27777777777778,39.111111111111114,0.28125,0.484375,1.0,0.44999999999999996
140,13,64,18,31,25.27777777777778,39.111111111111114,0.28125,0.484375,1.0,0.44999999999999996
141,13,64,18,31,25.27777777777778,39.111111111111114,0.28125,0.484375,1.0,0.44999999999999996
142,13,64,18,31,25.27777777777778,39.111111111111114,0.28125,0.484375,1.0,0.44999999999999996
143,14,65,18,31,25.27777777777778,39.111111111111114,0.27692307692307694,0.47692307692307695,1.0,0.44999999999999996
144,15,66,18,31,25.27777777777778,39.111111111111114,0.2727272727272727,0.4696969696969697,1.0,0.44999999999999996
145,16,67,18,31,25.27777777777778,39.111111111111114,0.26865671641791045,0.4626865671641791,1.0,0.44999999999999996
146,16,67,18,31,25.27777777777778,39.111111111111114,0.26865671641791045,0.4626865671641791,1.0,0.44999999999999996
147,15,67,19,31,25.736842105263158,39.526315789473685,0.2835820895522388,0.4626865671641791,1.0,0.44999999999999996
148,16,68,19,31,25.736842105263158,39.526315789473685,0.27941176470588236,0.45588235294117646,1.0,0.44999999999999996
149,17,69,19,31,25.736842105263158,39.526315789473685,0.2753623188405797,0.4492753623188406,1.0,0.44999999999999996
150,17,70,20,31,25.95,39.8,0.2857142857142857,0.44285714285714284,1.0,0.44999999999999996
151,18,71,20,31,25.95,39.8,0.28169014084507044,0.43661971830985913,1.0,0.44999999999999996
152,19,72,20,31,25.95,39.8,0.2777777777777778,0.4305555555555556,1.0,0.44999999999999996
153,20,73,20,31,25.95,39.8,0.273972602739726,0.4246575342465753,1.0,0.44999999999999996
154,20,73,20,31,25.95,39.8,0.273972602739726,0.4246575342465753,1.0,0.44999999999999996
155,21,74,20,31,25.95,39.8,0.2702702702702703,0.4189189189189189,1.0,0.44999999999999996
156,21,74,20,31,25.95,39.8,0.2702702702702703,0.4189189189189189,1.0,0.44999999999999996
157,20,74,20,32,25.95,39.8,0.2702702702702703,0.43243243243243246,1.0,0.44999999999999996
158,21,75,20,32,25.95,39.8,0.26666666666666666,0.4266666666666667,1.0,0.44999999999999996
159,21,75,20,32,25.95,39.8,0.26666666666666666,0.4266666666666667,1.0,0.44999999999999996
160,22,76,20,32,25.95,39.8,0.2631578947368421,0.42105263157894735,1.0,0.44999999999999996
161,23,77,20,32,25.95,39.8,0.2597402597402597,0.4155844155844156,1.0,0.44999999999999996
162,21,77,21,33,26.19047619047619,39.904761904761905,0.2727272727272727,0.42857142857142855,1.0,0.44999999999999996
163,21,78,21,34,26.19047619047619,39.904761904761905,0.2692307692307692,0.4358974358974359,1.0,0.44999999999999996
164,22,79,21,34,26.19047619047619,39.904761904761905,0.26582278481012656,0.43037974683544306,1.0,0.44999999999999996
165,24,81,21,34,26.19047619047619,39.904761904761905,0.25925925925925924,0.41975308641975306,1.0,0.44999999999999996
166,23,81,22,34,26.363636363636363,40.27272727272727,0.2716049382716049,0.41975308641975306,1.0,0.44999999999999996
167,23,81,22,34,26.363636363636363,40.27272727272727,0.2716049382716049,0.41975308641975306,1.0,0.44999999999999996
168,23,81,22,34,26.363636363636363,40.27272727272727,0.2716049382716049,0.41975308641975306,1.0,0.44999999999999996
169,24,82,22,34,26.363636363636363,40.27272727272727,0.2682926829268293,0.4146341463414634,1.0,0.44999999999999996
170,22,82,22,36,26.363636363636363,40.27272727272727,0.2682926829268293,0.43902439024390244,1.0,0.44999999999999996
171,22,82,22,36,26.363636363636363,40.27272727272727,0.2682926829268293,0.43902439024390244,1.0,0.44999999999999996
172,23,83,22,36,26.363636363636363,40.27272727272727,0.26506024096385544,0.43373493975903615,1.0,0.44999999999999996
173,22,83,22,37,26.363636363636363,40.27272727272727,0.26506024096385544,0.4457831325301205,1.0,0.44999999999999996
174,23,84,22,37,26.363636363636363,40.27272727272727,0.2619047619047619,0.44047619047619047,1.0,0.44999999999999996
175,22,84,22,38,26.363636363636363,40.27272727272727,0.2619047619047619,0.4523809523809524,1.0,0.44999999999999996
176,22,84,22,38,26.363636363636363,40.27272727272727,0.2619047619047619,0.4523809523809524,1.0,0.44999999999999996
177,20,85,23,40,26.91304347826087,40.65217391304348,0.27058823529411763,0.47058823529411764,1.0,0.44999999999999996
178,20,85,23,40,26.91304347826087,40.65217391304348,0.27058823529411763,0.47058823529411764,1.0,0.44999999999999996
179,20,86,23,41,26.91304347826087,40.65217391304348,0.26744186046511625,0.47674418604651164,1.0,0.44999999999999996
180,19,87,24,42,27.541666666666668,41.416666666666664,0.27586206896551724,0.4827586206896552,1.0,0.44999999999999996
181,18,88,24,44,27.541666666666668,41.416666666666664,0.2727272727272727,0.5,1.0,0.44999999999999996
182,18,89,24,45,27.541666666666668,41.416666666666664,0.2696629213483146,0.5056179775280899,1.0,0.44999999999999996
183,18,89,24,45,27.541666666666668,41.416666666666664,0.2696629213483146,0.5056179775280899,1.0,0.44999999999999996
184,17,89,24,46,27.541666666666668,41.416666666666664,0.2696629213483146,0.5168539325842697,1.0,0.44999999999999996
185,17,89,24,46,27.541666666666668,41.416666666666664,0.2696629213483146,0.5168539325842697,1.0,0.44999999999999996
